Store,Category,Product,Product_URL,Source,Size,Bust,Waist,Hips,US/CAN,UK,EU,AUS,Cup Size,Unit,CHEST,LENGTH,SHOULDER,SLEEVE,India,US,Inseam,Shoulder,Hip,Chest
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XS,32-33,24-25,35-36,,,,,32A-32B,,,,,,,,,,,
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,S,34-35,26-27,37-38,,,,,32C-34B,,,,,,,,,,,
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,M,36-37,28-29,39-40,,,,,34C-36B,,,,,,,,,,,
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,L,38.5-40,30.5-32,41.5-43,,,,,36C-38C,,,,,,,,,,,
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XL,41 1/2,33 1/2,44 1/2,,,,,38D-40D,,,,,,,,,,,
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,1X,44-44.5,37-38.5,47-48.5,,,,,42C-42D,,,,,,,,,,,
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,2X,47-49,40-42,50-52,,,,,44C-44D,,,,,,,,,,,
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,3X,51-53,44-46,54-56,,,,,46C+,,,,,,,,,,,
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XS,81-84,61-64,89-91,,70B-70C,70B-70C,10A-10B,,,,,,,,,,,,
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,S,86-89,66-69,94-97,,70D-75C,70D-75C,10C-12B,,,,,,,,,,,,
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,M,91-94,71-74,99-102,,75D-80C,75D-80C,12C-14B,,,,,,,,,,,,
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,L,98-102,77-81,105-109,,80D-85D,80D-85D,14C-16C,,,,,,,,,,,,
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XL,105,85,113,,85DD-90DD,85DD-90DD,16D-18D,,,,,,,,,,,,
Fashion Nova,Shoes + Boots,,https://www.fashionnova.com/pages/size-guide,size_guide_page,5,,,,5,3,35-36,5,,,,,,,,,,,,
Fashion Nova,Shoes + Boots,,https://www.fashionnova.com/pages/size-guide,size_guide_page,5.5,,,,5.5,3.5,36,5.5,,,,,,,,,,,,
Fashion Nova,Shoes + Boots,,https://www.fashionnova.com/pages/size-guide,size_guide_page,6,,,,6,4,36-37,6,,,,,,,,,,,,
Fashion Nova,Shoes + Boots,,https://www.fashionnova.com/pages/size-guide,size_guide_page,6.5,,,,6.5,4.5,37,6.5,,,,,,,,,,,,
Fashion Nova,Shoes + Boots,,https://www.fashionnova.com/pages/size-guide,size_guide_page,7,,,,7,5,37-38,7,,,,,,,,,,,,
Fashion Nova,Shoes + Boots,,https://www.fashionnova.com/pages/size-guide,size_guide_page,7.5,,,,7.5,5.5,38,7.5,,,,,,,,,,,,
Fashion Nova,Shoes + Boots,,https://www.fashionnova.com/pages/size-guide,size_guide_page,8,,,,8,6,38-39,8,,,,,,,,,,,,
Fashion Nova,Shoes + Boots,,https://www.fashionnova.com/pages/size-guide,size_guide_page,8.5,,,,8.5,6.5,39,8.5,,,,,,,,,,,,
Fashion Nova,Shoes + Boots,,https://www.fashionnova.com/pages/size-guide,size_guide_page,9,,,,9,7,39-40,9,,,,,,,,,,,,
Fashion Nova,Shoes + Boots,,https://www.fashionnova.com/pages/size-guide,size_guide_page,10,,,,10,7.5,40-41,10,,,,,,,,,,,,
Fashion Nova,Shoes + Boots,,https://www.fashionnova.com/pages/size-guide,size_guide_page,11,,,,11,8,41-42,11,,,,,,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/lining-maroon-shirt/7355129528482/buy,browser_scrape,XS,,,,,,,,,inches,37,26,16,24.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/lining-maroon-shirt/7355129528482/buy,browser_scrape,S,,,,,,,,,inches,39.5,27,17,25,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/lining-maroon-shirt/7355129528482/buy,browser_scrape,M,,,,,,,,,inches,41.75,28,18,25.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/lining-maroon-shirt/7355129528482/buy,browser_scrape,L,,,,,,,,,inches,45,29,19,26,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/lining-maroon-shirt/7355129528482/buy,browser_scrape,XL,,,,,,,,,inches,47.5,30,20,26.88,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/lining-maroon-shirt/7355129528482/buy,browser_scrape,XXL,,,,,,,,,inches,50.5,30.63,21.25,27.13,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/lining-maroon-shirt/7355129528482/buy,browser_scrape,3XL,,,,,,,,,inches,51,30,20.5,26,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/lining-maroon-shirt/7355129528482/buy,browser_scrape,4XL,,,,,,,,,inches,53,31,21.25,26.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/lining-maroon-shirt/7355129528482/buy,browser_scrape,5XL,,,,,,,,,inches,55,31.5,22,27,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/lining-maroon-shirt/7355129528482/buy,browser_scrape,6XL,,,,,,,,,inches,57,32,22.75,27.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-self-design-cuban-shirt-4mss2916-04/8477179707554/buy,browser_scrape,S,,,,,,,,,inches,40,27,17.25,8.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-self-design-cuban-shirt-4mss2916-04/8477179707554/buy,browser_scrape,M,,,,,,,,,inches,42,27.5,18,8.75,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-self-design-cuban-shirt-4mss2916-04/8477179707554/buy,browser_scrape,L,,,,,,,,,inches,44,28,18.5,9,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-self-design-cuban-shirt-4mss2916-04/8477179707554/buy,browser_scrape,XL,,,,,,,,,inches,46,28.5,19.5,9,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-self-design-cuban-shirt-4mss2916-04/8477179707554/buy,browser_scrape,XXL,,,,,,,,,inches,48,29,20.5,9.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-relaxed-fit-denim-shirt-4mss3690-03/8564770242722/buy,browser_scrape,XS,,,,,,,,,inches,43,27.5,18.5,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-relaxed-fit-denim-shirt-4mss3690-03/8564770242722/buy,browser_scrape,S,,,,,,,,,inches,45,28,19.25,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-relaxed-fit-denim-shirt-4mss3690-03/8564770242722/buy,browser_scrape,M,,,,,,,,,inches,47,28.5,20,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-relaxed-fit-denim-shirt-4mss3690-03/8564770242722/buy,browser_scrape,L,,,,,,,,,inches,49,29,20.75,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-relaxed-fit-denim-shirt-4mss3690-03/8564770242722/buy,browser_scrape,XL,,,,,,,,,inches,51,29.5,21.5,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-relaxed-fit-denim-shirt-4mss3690-03/8564770242722/buy,browser_scrape,XXL,,,,,,,,,inches,53,30,22.25,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-relaxed-fit-denim-shirt-4mss3690-03/8564770242722/buy,browser_scrape,3XL,,,,,,,,,inches,52,29.75,20.88,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-relaxed-fit-denim-shirt-4mss3690-03/8564770242722/buy,browser_scrape,4XL,,,,,,,,,inches,54,30.25,21.63,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-relaxed-fit-denim-shirt-4mss3690-03/8564770242722/buy,browser_scrape,5XL,,,,,,,,,inches,56,30.75,22.38,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/blue-relaxed-fit-denim-shirt-4mss3690-03/8564770242722/buy,browser_scrape,6XL,,,,,,,,,inches,58,31.25,23.13,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-02/8941251756194/buy,browser_scrape,XS,,,,,,,,,inches,41,27,17.5,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-02/8941251756194/buy,browser_scrape,S,,,,,,,,,inches,43,27.5,18.25,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-02/8941251756194/buy,browser_scrape,M,,,,,,,,,inches,45,28,19,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-02/8941251756194/buy,browser_scrape,L,,,,,,,,,inches,47,28.5,19.75,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-02/8941251756194/buy,browser_scrape,XL,,,,,,,,,inches,49,29,20.5,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-02/8941251756194/buy,browser_scrape,XXL,,,,,,,,,inches,51,29.5,21.25,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-02/8941251756194/buy,browser_scrape,3XL,,,,,,,,,inches,52,30.63,20.88,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-02/8941251756194/buy,browser_scrape,4XL,,,,,,,,,inches,54,31.13,21.63,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-02/8941251756194/buy,browser_scrape,5XL,,,,,,,,,inches,56,31.63,22.38,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-02/8941251756194/buy,browser_scrape,6XL,,,,,,,,,inches,58,32.13,23.13,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/burgundy-solid-oxford-shirt-4mss3563-02/8536886608034/buy,browser_scrape,XS,,,,,,,,,inches,37,26,16,24.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/burgundy-solid-oxford-shirt-4mss3563-02/8536886608034/buy,browser_scrape,S,,,,,,,,,inches,39.5,27,17,25,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/burgundy-solid-oxford-shirt-4mss3563-02/8536886608034/buy,browser_scrape,M,,,,,,,,,inches,41.75,28,18,25.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/burgundy-solid-oxford-shirt-4mss3563-02/8536886608034/buy,browser_scrape,L,,,,,,,,,inches,45,29,19,26,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/burgundy-solid-oxford-shirt-4mss3563-02/8536886608034/buy,browser_scrape,XL,,,,,,,,,inches,47.5,30,20,26.88,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/burgundy-solid-oxford-shirt-4mss3563-02/8536886608034/buy,browser_scrape,XXL,,,,,,,,,inches,50.5,30.63,21.25,27.13,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/burgundy-solid-oxford-shirt-4mss3563-02/8536886608034/buy,browser_scrape,3XL,,,,,,,,,inches,51,30,20.5,26,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/burgundy-solid-oxford-shirt-4mss3563-02/8536886608034/buy,browser_scrape,4XL,,,,,,,,,inches,53,31,21.25,26.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/burgundy-solid-oxford-shirt-4mss3563-02/8536886608034/buy,browser_scrape,5XL,,,,,,,,,inches,55,31.5,22,27,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/burgundy-solid-oxford-shirt-4mss3563-02/8536886608034/buy,browser_scrape,6XL,,,,,,,,,inches,57,32,22.75,27.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/cross-diamond-textured-ash-grey-shirt/8076250841250/buy,browser_scrape,XS,,,,,,,,,inches,43,27.5,18.5,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/cross-diamond-textured-ash-grey-shirt/8076250841250/buy,browser_scrape,S,,,,,,,,,inches,45,28,19.25,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/cross-diamond-textured-ash-grey-shirt/8076250841250/buy,browser_scrape,M,,,,,,,,,inches,47,28.5,20,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/cross-diamond-textured-ash-grey-shirt/8076250841250/buy,browser_scrape,L,,,,,,,,,inches,49,29,20.75,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/cross-diamond-textured-ash-grey-shirt/8076250841250/buy,browser_scrape,XL,,,,,,,,,inches,51,29.5,21.5,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/cross-diamond-textured-ash-grey-shirt/8076250841250/buy,browser_scrape,XXL,,,,,,,,,inches,53,30,22.25,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/cross-diamond-textured-ash-grey-shirt/8076250841250/buy,browser_scrape,3XL,,,,,,,,,inches,54,30,22.25,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/cross-diamond-textured-ash-grey-shirt/8076250841250/buy,browser_scrape,4XL,,,,,,,,,inches,56,30.5,23,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/cross-diamond-textured-ash-grey-shirt/8076250841250/buy,browser_scrape,5XL,,,,,,,,,inches,58,31,23.75,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/cross-diamond-textured-ash-grey-shirt/8076250841250/buy,browser_scrape,6XL,,,,,,,,,inches,60,31.5,24.5,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-03/8941251821730/buy,browser_scrape,XS,,,,,,,,,inches,41,27,17.5,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-03/8941251821730/buy,browser_scrape,S,,,,,,,,,inches,43,27.5,18.25,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-03/8941251821730/buy,browser_scrape,M,,,,,,,,,inches,45,28,19,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-03/8941251821730/buy,browser_scrape,L,,,,,,,,,inches,47,28.5,19.75,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-03/8941251821730/buy,browser_scrape,XL,,,,,,,,,inches,49,29,20.5,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-03/8941251821730/buy,browser_scrape,XXL,,,,,,,,,inches,51,29.5,21.25,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-03/8941251821730/buy,browser_scrape,3XL,,,,,,,,,inches,52,30.63,20.88,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-03/8941251821730/buy,browser_scrape,4XL,,,,,,,,,inches,54,31.13,21.63,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-03/8941251821730/buy,browser_scrape,5XL,,,,,,,,,inches,56,31.63,22.38,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-03/8941251821730/buy,browser_scrape,6XL,,,,,,,,,inches,58,32.13,23.13,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/olive-solid-oxford-shirt-4mss3563-07/8536887394466/buy,browser_scrape,XS,,,,,,,,,inches,37,26,16,24.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/olive-solid-oxford-shirt-4mss3563-07/8536887394466/buy,browser_scrape,S,,,,,,,,,inches,39.5,27,17,25,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/olive-solid-oxford-shirt-4mss3563-07/8536887394466/buy,browser_scrape,M,,,,,,,,,inches,41.75,28,18,25.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/olive-solid-oxford-shirt-4mss3563-07/8536887394466/buy,browser_scrape,L,,,,,,,,,inches,45,29,19,26,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/olive-solid-oxford-shirt-4mss3563-07/8536887394466/buy,browser_scrape,XL,,,,,,,,,inches,47.5,30,20,26.88,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/olive-solid-oxford-shirt-4mss3563-07/8536887394466/buy,browser_scrape,XXL,,,,,,,,,inches,50.5,30.63,21.25,27.13,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/olive-solid-oxford-shirt-4mss3563-07/8536887394466/buy,browser_scrape,3XL,,,,,,,,,inches,51,30,20.5,26,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/olive-solid-oxford-shirt-4mss3563-07/8536887394466/buy,browser_scrape,4XL,,,,,,,,,inches,53,31,21.25,26.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/olive-solid-oxford-shirt-4mss3563-07/8536887394466/buy,browser_scrape,5XL,,,,,,,,,inches,55,31.5,22,27,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/olive-solid-oxford-shirt-4mss3563-07/8536887394466/buy,browser_scrape,6XL,,,,,,,,,inches,57,32,22.75,27.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-04/8941251854498/buy,browser_scrape,XS,,,,,,,,,inches,41,27,17.5,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-04/8941251854498/buy,browser_scrape,S,,,,,,,,,inches,43,27.5,18.25,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-04/8941251854498/buy,browser_scrape,M,,,,,,,,,inches,45,28,19,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-04/8941251854498/buy,browser_scrape,L,,,,,,,,,inches,47,28.5,19.75,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-04/8941251854498/buy,browser_scrape,XL,,,,,,,,,inches,49,29,20.5,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-04/8941251854498/buy,browser_scrape,XXL,,,,,,,,,inches,51,29.5,21.25,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-04/8941251854498/buy,browser_scrape,3XL,,,,,,,,,inches,52,30.63,20.88,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-04/8941251854498/buy,browser_scrape,4XL,,,,,,,,,inches,54,31.13,21.63,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-04/8941251854498/buy,browser_scrape,5XL,,,,,,,,,inches,56,31.63,22.38,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/regular-fit-jacquard-100-cotton-shirt-4mss4198-04/8941251854498/buy,browser_scrape,6XL,,,,,,,,,inches,58,32.13,23.13,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/madrigo-lilac-shirt/8186239385762/buy,browser_scrape,XS,,,,,,,,,inches,37,26,16,24.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/madrigo-lilac-shirt/8186239385762/buy,browser_scrape,S,,,,,,,,,inches,39.5,27,17,25,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/madrigo-lilac-shirt/8186239385762/buy,browser_scrape,M,,,,,,,,,inches,41.75,28,18,25.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/madrigo-lilac-shirt/8186239385762/buy,browser_scrape,L,,,,,,,,,inches,45,29,19,26,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/madrigo-lilac-shirt/8186239385762/buy,browser_scrape,XL,,,,,,,,,inches,47.5,30,20,26.88,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/madrigo-lilac-shirt/8186239385762/buy,browser_scrape,XXL,,,,,,,,,inches,50.5,30.63,21.25,27.13,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/madrigo-lilac-shirt/8186239385762/buy,browser_scrape,3XL,,,,,,,,,inches,51,30,20.5,26,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/madrigo-lilac-shirt/8186239385762/buy,browser_scrape,4XL,,,,,,,,,inches,53,31,21.25,26.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/madrigo-lilac-shirt/8186239385762/buy,browser_scrape,5XL,,,,,,,,,inches,55,31.5,22,27,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/madrigo-lilac-shirt/8186239385762/buy,browser_scrape,6XL,,,,,,,,,inches,57,32,22.75,27.5,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/100-cotton-stripes-regular-fit-shirt-4mss4753-03/8937667756194/buy,browser_scrape,XS,,,,,,,,,inches,41,27,17.5,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/100-cotton-stripes-regular-fit-shirt-4mss4753-03/8937667756194/buy,browser_scrape,S,,,,,,,,,inches,43,27.5,18.25,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/100-cotton-stripes-regular-fit-shirt-4mss4753-03/8937667756194/buy,browser_scrape,M,,,,,,,,,inches,45,28,19,,,,,,,
Snitch,,,https://www.snitch.com/men-shirts/100-cotton-stripes-regular-fit-shirt-4mss4753-03/8937667756194/buy,browser_scrape,L,,,,,,,,,inches,47,28.5,19.75,,,,,,,
